Кто/Что,Отношение,К чему/С чем
Монтажник,подвержен_риску,Травмы от движущихся механизмов
Монтажник,подвержен_риску,Защемление при установке конструкций
Монтажник,обязан_после_работы,Закрепить временно неустойчивые конструкции
Монтажник,обязан_после_работы,Убрать инструмент и материалы с высоты
Монтажник,обязан_после_работы,Проверить надежность выполненного монтажа
Монтажник,работает_на,Высота более 1
Монтажник,работает_на,3м
Монтажник,работает_на,Строительные леса
Монтажник,работает_на,Вышки
Монтажник,работает_на,Конструкции
Монтажник,работает_с,Подъемные механизмы (краны
Монтажник,работает_с,тали)
Монтажник,работает_с,Строительные конструкции (балки
Монтажник,работает_с,плиты
Монтажник,работает_с,фермы)
Монтажник,работает_с,Монтажное оборудование и инструмент
Монтажник,работает_с,Стропы и грузозахватные приспособления
Монтажник,строго_запрещено,Работать на высоте без страховочной системы
Монтажник,строго_запрещено,Перебрасывать инструменты и материалы
Монтажник,строго_запрещено,Работать при скорости ветра более 15 м/с
Монтажник,строго_запрещено,Находиться под местами производства работ
Наряд,ДОПУСК_контроль,Ежедневная проверка выполнения мер безопасности
Наряд,ДОПУСК_содержит,Перечень работ
Наряд,ДОПУСК_содержит,Состав бригады
Наряд,ДОПУСК_содержит,Меры безопасности
Наряд,ДОПУСК_содержит,Сроки действия
Наряд,ДОПУСК_требуется_для,Работы на высоте
Наряд,ДОПУСК_требуется_для,Огневые работы
Наряд,ДОПУСК_требуется_для,Работы в замкнутых пространствах
Наряд,ДОПУСК_требуется_для,Земляные работы вблизи коммуникаций
Обязательные,ТРЕБОВАНИЯ,Разработка инструкций по ОТ
Обязательные,ТРЕБОВАНИЯ,Проведение СОУТ
Обязательные,ТРЕБОВАНИЯ,Обучение работников
Обязательные,ТРЕБОВАНИЯ,Обеспечение СИЗ
Обязательные,ТРЕБОВАНИЯ,Расследование несчастных случаев
Основные,ДОКУМЕНТЫ,Правила по охране труда в строительстве №883н
Основные,ДОКУМЕНТЫ,СП 12-135-2003 Безопасность труда в строительстве
Основные,ДОКУМЕНТЫ,ПБ 10-382-00 Правила безопасной эксплуатации крано...
Основные,ДОКУМЕНТЫ,Правила по охране труда при работе на высоте №782н
Отравление,источники,Сварочные газы
Отравление,источники,Растворители
Отравление,источники,Асбестовая пыль
Отравление,источники,Выхлопные газы техники
Отравление,профилактика,Вентиляция
Отравление,профилактика,Средства защиты органов дыхания
Отравление,профилактика,Контроль ПДК вредных веществ
Падение,ПРЕДМЕТОВ_причины,Неправильное складирование
Падение,ПРЕДМЕТОВ_причины,Сильный ветер
Падение,ПРЕДМЕТОВ_причины,Неисправные грузозахватные приспособления
Падение,ПРЕДМЕТОВ_профилактика,Защитные козырьки
Падение,ПРЕДМЕТОВ_профилактика,Ограждение опасных зон
Падение,ПРЕДМЕТОВ_профилактика,Правильная строповка
Падение,ПРЕДМЕТОВ_профилактика,Контроль складирования
Падение,С_ВЫСОТЫ_причины,Отсутствие ограждений
Падение,С_ВЫСОТЫ_причины,Неисправные леса
Падение,С_ВЫСОТЫ_причины,Отсутствие страховки
Падение,С_ВЫСОТЫ_причины,Скользкие поверхности
Падение,С_ВЫСОТЫ_профилактика,Устройство ограждений
Падение,С_ВЫСОТЫ_профилактика,Применение СИЗ от падения
Падение,С_ВЫСОТЫ_профилактика,Проверка лесов
Падение,С_ВЫСОТЫ_профилактика,Очистка от льда и снега
Падение,С_ВЫСОТЫ_статистика,40% несчастных случаев в строительстве
Первичный,ИНСТРУКТАЖ_место,На рабочем месте
Первичный,ИНСТРУКТАЖ_на_рабочем_месте,Проводится непосредственным руководителем на рабоч...
Первичный,ИНСТРУКТАЖ_на_рабочем_месте,правилами обращения с оборудованием
Первичный,ИНСТРУКТАЖ_на_рабочем_месте,местонахождением средств пожаротушения и первой по...
Первичный,ИНСТРУКТАЖ_проводит,Непосредственный руководитель
Первичный,ИНСТРУКТАЖ_содержание,Специфика рабочего места
Первичный,ИНСТРУКТАЖ_содержание,Безопасные приемы работы
Первичный,ИНСТРУКТАЖ_содержание,Аварийные ситуации
Повторный,ИНСТРУКТАЖ_периодичность,Проводится не реже 1 раза в 3 месяца для проверки ...
Повторный,ИНСТРУКТАЖ_цель,Проверка знаний правил безопасности
Погрузочно,запрещено,Нахождение под грузом
Погрузочно,запрещено,Превышение грузоподъемности
Погрузочно,запрещено,Транспортировка людей
Погрузочно,имеет_опасность,Падение груза
Погрузочно,имеет_опасность,Защемление
Погрузочно,имеет_опасность,Опрокидывание техники
Погрузочно,имеет_требование,Правильная строповка
Погрузочно,имеет_требование,Проверка грузоподъемности
Погрузочно,имеет_требование,Освобождение опасной зоны
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_первая_помощь,Обесточить пострадавшего
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_первая_помощь,Вызвать скорую
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_первая_помощь,ИВЛ при остановке дыхания
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_причины,Поврежденная изоляция
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_причины,Работа под напряжением
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_причины,Контакт с ЛЭП
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_причины,Использование неисправного инструмента
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_профилактика,Проверка изоляции
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_профилактика,Отключение питания
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_профилактика,Применение диэлектрических СИЗ
Поражение,ЭЛЕКТРИЧЕСКИМ_ТОКОМ_профилактика,Заземление оборудования
Поражение,имеет_опасность,Сила тока более 10мА
Поражение,имеет_опасность,Напряжение
Поражение,имеет_опасность,Сопротивление тела
Поражение,имеет_опасность,Путь тока через тело
Сварочные,запрещено,Сварка в закрытых емкостях без вентиляции
Сварочные,запрещено,Сварка мокрыми электродами
Сварочные,запрещено,Работа без защиты глаз
Сварочные,имеет_опасность,Пожар
Сварочные,имеет_опасность,Взрыв
Сварочные,имеет_опасность,Поражение электротоком
Сварочные,имеет_опасность,Ожоги
Сварочные,имеет_опасность,Отравление газами
Сварочные,имеет_требование,Огнетушитель рядом
Сварочные,имеет_требование,Проверка изоляции
Сварочные,имеет_требование,Вентиляция помещения
Сварочные,имеет_требование,Зачистка от горючих материалов
Сварщик,обязан_во_время_работы,Работать только в защитной маске или щитке
Сварщик,обязан_во_время_работы,Не допускать попадания искр на горючие материалы
Сварщик,обязан_во_время_работы,Регулярно проветривать помещение
Сварщик,обязан_во_время_работы,Следить за исправностью заземления
Сварщик,должен_носить,Защитная маска сварщика с затемненными стеклами
Сварщик,должен_носить,Спецодежда из негорючих материалов
Сварщик,должен_носить,Защитные перчатки-краги
Сварщик,должен_носить,Защитные очки при зачистке швов
Сварщик,должен_носить,Респиратор при работе в помещениях
Сварщик,запрещено,Работать в помещениях с повышенной влажностью без ...
Сварщик,запрещено,Работать без защитной маски
Сварщик,обязан_перед_работой,Проверить исправность сварочного оборудования
Сварщик,обязан_перед_работой,Осмотреть электрические кабели на предмет поврежде...
Сварщик,обязан_перед_работой,Подготовить средства пожаротушения
Сварщик,обязан_перед_работой,Проветрить рабочее помещение
Сварщик,подвержен_риску,Ожог глаз и кожи от сварочной дуги
Сварщик,подвержен_риску,Поражение электрическим током
Сварщик,подвержен_риску,Отравление сварочными газами и аэрозолями
Сварщик,подвержен_риску,Пожар от искр и окалины
Сварщик,обязан_после_работы,Отключить сварочное оборудование от сети
Сварщик,обязан_после_работы,Убрать горючие материалы из зоны работ
Сварщик,обязан_после_работы,Проветрить помещение
Сварщик,обязан_после_работы,Осмотреть место работ на предмет тлеющих материало...
Сварщик,работает_с,Сварочный аппарат (электрический
Сварщик,работает_с,газовый)
Сварщик,работает_с,Электроды различных марок
Сварщик,работает_с,Газовое оборудование (баллоны с кислородом и ацети...
Сварщик,работает_с,Горелки и резаки
Сварщик,строго_запрещено,Работать без защитной маски или с поврежденными ст...
Сварщик,строго_запрещено,Производить сварку вблизи легковоспламеняющихся ма...
Сварщик,строго_запрещено,Работать неисправным оборудованием
Сварщик,строго_запрещено,Оставлять включенное оборудование без присмотра
Страховочная,имеет_требование,Должна выдерживать статическую нагрузку не менее 1...
Страховочная,имеет_требование,иметь паспорт с отметками о техосмотрах
Страховочная,имеет_требование,проверяться перед каждым использованием
Строительные,запрещено,Перегрузка лесов
Строительные,запрещено,Использование случайных материалов
Строительные,запрещено,Работа при сильном ветре
Строительные,имеет_опасность,Обрушение
Строительные,имеет_опасность,Падение с лесов
Строительные,имеет_опасность,Падение материалов
Строительные,ЛЕСА_проверки,При сборке
Строительные,ЛЕСА_проверки,После атмосферных воздействий
Строительные,ЛЕСА_проверки,Не реже 1 раза в 10 дней
Строительные,имеет_требование,Сборка по проекту
Строительные,имеет_требование,Приемка комиссией
Строительные,имеет_требование,Ограждение настилов
Строительные,имеет_требование,Защитные козырьки
Стропальщик,должен_носить,Каска
Стропальщик,должен_носить,Защитные перчатки
Стропальщик,должен_носить,Спецодежда
Стропальщик,должен_носить,Защитная обувь
Стропальщик,запрещено,Находиться под поднимаемым грузом
Стропальщик,запрещено,Оттягивать груз руками
Стропальщик,запрещено,Использовать поврежденные стропы
Стропальщик,обязан,Проверить исправность стропов
Стропальщик,обязан,Правильно застропить груз
Стропальщик,обязан,Покинуть опасную зону при подъеме
Стропальщик,подвержен_риску,Падение груза
Стропальщик,подвержен_риску,Защемление стропами
Стропальщик,подвержен_риску,Удар падающими предметами
Стропальщик,работает_с,Стропы
Стропальщик,работает_с,Грузозахватные приспособления
Стропальщик,работает_с,Тара для грузов
Целевой,ИНСТРУКТАЖ_назначение,Проводится перед выполнением работ повышенной опас...
Целевой,ИНСТРУКТАЖ_назначение,разовых работ
Целевой,ИНСТРУКТАЖ_назначение,работ по наряду-допуску
Целевой,ИНСТРУКТАЖ_причины,Разовые работы
Целевой,ИНСТРУКТАЖ_причины,Работы по наряду-допуску
Целевой,ИНСТРУКТАЖ_причины,Ликвидация аварий
Экскаватор,запрещено,Использование как грузоподъемный кран без переобор...
Экскаватор,запрещено,Подъем людей в ковше
Экскаватор,запрещено,Резкие повороты на склонах
Экскаватор,имеет_опасность,Опрокидывание
Экскаватор,имеет_опасность,Повреждение коммуникаций
Экскаватор,имеет_опасность,Наезд на людей
Экскаватор,имеет_требование,Работа в пределах устойчивости
Экскаватор,имеет_требование,Согласование при работе у коммуникаций
Экскаватор,имеет_требование,Сигнальщик при ограниченной видимости
Электрик,обязан_во_время_работы,Работать только в диэлектрических перчатках и обув...
Электрик,обязан_во_время_работы,Использовать изолирующие подставки
Электрик,обязан_во_время_работы,Не прикасаться к неизолированным токоведущим частя...
Электрик,должен_носить,Диэлектрические перчатки (до 1000В)
Электрик,должен_носить,Диэлектрические боты или галоши
Электрик,должен_носить,Каска защитная
Электрик,должен_носить,Защитные очки
Электрик,должен_носить,Спецодежда из негорючих материалов
Электрик,запрещено,Работать под напряжением без допуска
Электрик,запрещено,Использовать неисправный инструмент
Электрик,обязан,Проверить отсутствие напряжения
Электрик,обязан,Вывесить предупреждающие плакаты
Электрик,обязан,Использовать диэлектрические СИЗ
Электрик,обязан_перед_работой,Проверить отсутствие напряжения указателем
Электрик,обязан_перед_работой,Вывесить предупреждающие плакаты
Электрик,обязан_перед_работой,Установить заземление на отключенных участках
Электрик,обязан_перед_работой,Использовать исправные диэлектрические СИЗ
Электрик,подвержен_риску,Поражение электрическим током при прикосновении к ...
Электрик,подвержен_риску,Электрические ожоги от воздействия дуги
Электрик,подвержен_риску,Поражение электрической дугой при КЗ
Электрик,обязан_после_работы,Снять заземление
Электрик,обязан_после_работы,Убрать предупреждающие плакаты
Электрик,обязан_после_работы,Привести в порядок рабочее место
Электрик,обязан_после_работы,Сдать инструмент и СИЗ на хранение
Электрик,работает_с,Электроустановки напряжением до 1000В
Электрик,работает_с,Электроинструмент класса защиты I и II
Электрик,работает_с,Кабели и провода
Электрик,работает_с,Распределительные щиты и устройства
Электрик,строго_запрещено,Работать под напряжением без допуска по электробез...
Электрик,строго_запрещено,Использовать неисправный электроинструмент
Электрик,строго_запрещено,Работать в сырых помещениях без дополнительных мер...
