Кто/Что,Отношение,К чему/С чем
Мастер,должен_носить,Сигнальный жилет при работе на придомовой территории
Мастер,работает_с,Персонал участка (дворники
Мастер,работает_с,слесари
Мастер,работает_с,электрики)
Мастер,работает_с,Жильцы многоквартирных домов
Мастер,работает_с,Подрядные организации
Мастер,работает_с,Аварийно-диспетчерская служба
Мастер,работает_с,Техническая документация домов
Мастер,подвержен_риску,Стресс от общения с недовольными жильцами
Мастер,подвержен_риску,Травмы при осмотре аварийных ситуаций
Мастер,подвержен_риску,Переохлаждение при работе в холодных технических помещениях
Мастер,подвержен_риску,Падения при осмотре кровель и подвалов
Мастер,обязан_перед_работой,Получить информацию о плановых и аварийных работах
Мастер,обязан_перед_работой,Проверить укомплектованность бригад необходимыми СИЗ
Мастер,обязан_перед_работой,Осмотреть закрепленную территорию
Мастер,обязан_перед_работой,Ознакомиться с жалобами жильцов
Мастер,обязан_во_время_работы,Контролировать соблюдение техники безопасности подчиненными
Мастер,обязан_во_время_работы,Использовать СИЗ при осмотре опасных объектов
Мастер,обязан_во_время_работы,Оперативно реагировать на аварийные ситуации
Мастер,обязан_во_время_работы,Документировать выполненные работы
Мастер,обязан_после_работы,Проанализировать выполнение плановых работ
Мастер,обязан_после_работы,Подготовить отчет о состоянии обслуживаемых объектов
Мастер,обязан_после_работы,Спланировать работы на следующий день
Мастер,обязан_после_работы,Передать информацию диспетчеру
Мастер,строго_запрещено,Допускать работников к опасным работам без соответствующих С...
Мастер,строго_запрещено,Игнорировать жалобы жильцов на аварийные ситуации
Мастер,строго_запрещено,Направлять работников на работы
Мастер,строго_запрещено,к которым они не допущены
Мастер,строго_запрещено,Скрывать от руководства случаи травматизма
Рабочий,должен_носить,Костюм рабочий
Рабочий,должен_носить,Защитная обувь на нескользящей подошве
Рабочий,должен_носить,Защитные перчатки
Рабочий,должен_носить,Каска при работе на высоте
Рабочий,должен_носить,Страховочная привязь для работ свыше 1.8м
Рабочий,работает_с,Ручной строительный инструмент
Рабочий,работает_с,Лестницы и стремянки
Рабочий,работает_с,Малярные материалы и кисти
Рабочий,работает_с,Замки и дверная фурнитура
Рабочий,работает_с,Сантехническое оборудование
Рабочий,работает_с,Мелкий строительный материал
Рабочий,подвержен_риску,Падение с высоты при работе на лестницах
Рабочий,подвержен_риску,Отравление парами красок и растворителей
Рабочий,подвержен_риску,Порезы от острого инструмента
Рабочий,подвержен_риску,Ушибы при переноске материалов
Рабочий,подвержен_риску,Аллергические реакции на строительные материалы
Рабочий,обязан_перед_работой,Осмотреть инструмент на исправность
Рабочий,обязан_перед_работой,Проверить устойчивость лестниц и стремянок
Рабочий,обязан_перед_работой,Подготовить средства индивидуальной защиты
Рабочий,обязан_перед_работой,При работе с химическими материалами изучить инструкцию
Рабочий,обязан_во_время_работы,Использовать инструмент строго по назначению
Рабочий,обязан_во_время_работы,При работе на высоте применять страховочные средства
Рабочий,обязан_во_время_работы,Обеспечивать проветривание при работе с лакокрасочными матер...
Рабочий,обязан_во_время_работы,Соблюдать правила подъема тяжестей
Рабочий,обязан_после_работы,Очистить инструмент и убрать в отведенное место
Рабочий,обязан_после_работы,Проветрить помещение после применения химических веществ
Рабочий,обязан_после_работы,Вымыть руки и лицо с мылом
Рабочий,обязан_после_работы,Сообщить мастеру о выполненной работе
Рабочий,строго_запрещено,Работать на неустойчивых лестницах
Рабочий,строго_запрещено,Использовать неисправный инструмент
Рабочий,строго_запрещено,Работать с лакокрасочными материалами без вентиляции
Рабочий,строго_запрещено,Превышать допустимый вес переносимых грузов
Оператор,должен_носить,Костюм из негорючих материалов
Оператор,должен_носить,Защитная обувь на нескользящей подошве
Оператор,должен_носить,Защитные очки
Оператор,должен_носить,Защитные перчатки термостойкие
Оператор,должен_носить,Каска защитная
Оператор,работает_с,Котельные агрегаты и теплообменники
Оператор,работает_с,Насосы циркуляции теплоносителя
Оператор,работает_с,Запорно-регулирующая арматура
Оператор,работает_с,Контрольно-измерительные приборы
Оператор,работает_с,Система водоподготовки
Оператор,работает_с,Газовое оборудование
Оператор,подвержен_риску,Ожоги от горячих поверхностей и пара
Оператор,подвержен_риску,Отравление продуктами сгорания
Оператор,подвержен_риску,Взрыв при нарушении режимов горения
Оператор,подвержен_риску,Поражение электротоком от насосов и вентиляторов
Оператор,подвержен_риску,Химические ожоги от реагентов водоподготовки
Оператор,обязан_перед_работой,Осмотреть котельное оборудование
Оператор,обязан_перед_работой,Проверить исправность предохранительных устройств
Оператор,обязан_перед_работой,Убедиться в работоспособности вентиляции
Оператор,обязан_перед_работой,Проверить наличие и исправность СИЗ
Оператор,обязан_перед_работой,Ознакомиться с записями в сменном журнале
Оператор,обязан_во_время_работы,Постоянно контролировать параметры работы котлов
Оператор,обязан_во_время_работы,Регулярно проверять исправность предохранительных клапанов
Оператор,обязан_во_время_работы,Не допускать превышения рабочих параметров
Оператор,обязан_во_время_работы,Немедленно реагировать на аварийные сигналы
Оператор,обязан_после_работы,Зафиксировать показания приборов в журнале
Оператор,обязан_после_работы,Передать смену с росписью в журнале
Оператор,обязан_после_работы,Сообщить о всех замечаниях по оборудованию
Оператор,обязан_после_работы,Убрать рабочее место
Оператор,строго_запрещено,Оставлять работающие котлы без надзора
Оператор,строго_запрещено,Превышать допустимые параметры работы оборудования
Оператор,строго_запрещено,Производить ремонт работающего оборудования
Оператор,строго_запрещено,Курить и применять открытый огонь в котельной
Оператор,строго_запрещено,Работать при неисправной вентиляции
Вводный Инструктаж,применяется_в_ЖКХ,Проводится специалистом по охране труда при приеме на работу...
Вводный Инструктаж,применяется_в_ЖКХ,характерные опасности отрасли
Вводный Инструктаж,применяется_в_ЖКХ,требования к СИЗ
Вводный Инструктаж,применяется_в_ЖКХ,правила поведения при авариях
Вводный Инструктаж,применяется_в_ЖКХ,порядок оказания первой помощи
Первичный,ИНСТРУКТАЖ,Проводится мастером участка на рабочем месте. Включает: озна...
Первичный,ИНСТРУКТАЖ,правила безопасной работы с оборудованием
Первичный,ИНСТРУКТАЖ,местонахождение аптечек и средств пожаротушения
Первичный,ИНСТРУКТАЖ,порядок действий при авариях
Повторный,ИНСТРУКТАЖ,Проводится каждые 3 месяца. Повторяется содержание первичног...
Повторный,ИНСТРУКТАЖ,актуализируются изменения в правилах безопасности
Повторный,ИНСТРУКТАЖ,разбираются случаи нарушений и несчастные случаи
Целевой,ИНСТРУКТАЖ,Проводится перед работами повышенной опасности: работы в кол...
Целевой,ИНСТРУКТАЖ,на кровлях
Целевой,ИНСТРУКТАЖ,с электроустановками под напряжением
Целевой,ИНСТРУКТАЖ,аварийно-восстановительные работы
Каска Жкх,имеет_требование,Обязательна при работе в подвалах
Каска Жкх,имеет_требование,технических этажах
Каска Жкх,имеет_требование,колодцах. Должна иметь подбородочный ремень
Каска Жкх,имеет_требование,быть целой без трещин
Каска Жкх,имеет_требование,регулироваться по размеру головы
Респиратор Жкх,имеет_требование,Применяется при работе в канализационных колодцах
Респиратор Жкх,имеет_требование,с химическими реагентами
Респиратор Жкх,имеет_требование,в запыленных помещениях. Должен плотно прилегать к лицу
Респиратор Жкх,имеет_требование,фильтр заменяется согласно инструкции
Страховочная Привязь,имеет_требование,Обязательна для работ на крышах
Страховочная Привязь,имеет_требование,при ремонте фасадов
Страховочная Привязь,имеет_требование,очистке водостоков. Должна проверяться перед каждым использо...
Страховочная Привязь,имеет_требование,иметь действующий сертификат испытаний
Работы В,имеет_требование,Перед спуском проверить загазованность
Работы В,имеет_требование,обеспечить принудительную вентиляцию
Работы В,имеет_требование,работать не менее чем втроем (один в колодце
Работы В,имеет_требование,один страхует
Работы В,имеет_требование,один наблюдает)
Работы В,имеет_требование,использовать спасательный пояс
Работы На,имеет_требование,Работы проводить при скорости ветра не более 15 м/с
Работы На,имеет_требование,в светлое время суток
Работы На,имеет_требование,использовать страховочную привязь
Работы На,имеет_требование,проверить прочность кровельных конструкций
Аварийные Работы,имеет_требование,При получении заявки на аварию немедленно выехать на место
Аварийные Работы,имеет_требование,оценить масштабы аварии
Аварийные Работы,имеет_требование,при необходимости вызвать спасательные службы
Аварийные Работы,имеет_требование,принять меры по локализации аварии
Аварийные Работы,имеет_требование,обеспечить безопасность людей
Загазованность,тип_опасности,В подвалах и колодцах возможно скопление метана
Загазованность,тип_опасности,сероводорода
Загазованность,тип_опасности,угарного газа. Перед спуском обязательна проверка газоанализ...
Загазованность,тип_опасности,работа только с принудительной вентиляцией
Затопление,тип_опасности,При авариях водопровода возможно затопление подвалов и техни...
Затопление,тип_опасности,эвакуировать людей из опасной зоны
Обрушение,тип_опасности,В старых зданиях возможно обрушение конструкций. При обнаруж...
Обрушение,тип_опасности,прогибов немедленно ограничить доступ
Обрушение,тип_опасности,вызвать специалистов для обследования
